"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"Alemania","54 %","10678","0 %","100 %"
"España","36,7 %","7258","14,51 %","85,49 %"
"Fiyi","9,13 %","1806","100 %","0 %"
"Ucrania","0,16 %","32","100 %","0 %"
