"País","Cuota de tráfico","Visitas","Visitantes únicos","Participación en escritorio","Participación en móviles","Páginas / Visita","Duración media de visita","Porcentaje de rebote"
"Países Bajos","40,48 %","219","73","100 %","0 %","1.33","01:07","66,67 %"
"España","36,04 %","195","195","100 %","0 %","4.33","02:19","33,33 %"
"Estados Unidos","14,23 %","77","13","100 %","0 %","1","00:00","100 %"
"Israel","5,18 %","28","28","100 %","0 %","6","03:16","0 %"
"Italia","4,07 %","22","11","100 %","0 %","6","07:51","0 %"
