"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"Argentina","61,74 %","142","100 %","0 %"
"Estados Unidos","33,48 %","77","100 %","0 %"
"Italia","4,78 %","11","100 %","0 %"
