"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","97,56 %","21093","2,37 %","97,63 %"
"Reino Unido","0,84 %","182","100 %","0 %"
"Argentina","0,66 %","142","100 %","0 %"
"Estados Unidos","0,36 %","77","100 %","0 %"
"Alemania","0,34 %","74","100 %","0 %"
