"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","81,96 %","32812","87,36 %","12,64 %"
"Italia","17,2 %","6885","0 %","100 %"
"Canadá","0 %","0","0 %","0 %"
"Alemania","0 %","0","0 %","0 %"
"Austria","0 %","0","0 %","0 %"
