"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"Italia","51,36 %","19026","0 %","100 %"
"España","48,47 %","17957","100 %","0 %"
"Reino Unido","0,17 %","62","100 %","0 %"
