"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","98,47 %","32412","93,71 %","6,29 %"
"México","1,11 %","367","100 %","0 %"
"Estados Unidos","0,3 %","99","100 %","0 %"
"Venezuela","0,06 %","20","100 %","0 %"
"Italia","0,05 %","18","100 %","0 %"
