"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","87,33 %","207910","93,75 %","6,25 %"
"Italia","10,94 %","26057","0,08 %","99,92 %"
"Suiza","0,44 %","1049","100 %","0 %"
"Alemania","0,4 %","941","100 %","0 %"
"Bélgica","0 %","0","0 %","0 %"
