"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","90,45 %","7482","100 %","0 %"
"Colombia","3,06 %","253","100 %","0 %"
"Suiza","2,09 %","173","100 %","0 %"
"Estados Unidos","2,02 %","167","100 %","0 %"
"Portugal","0 %","0","0 %","0 %"
