"","Todos los dispositivos","De escritorio","Móvil"
"abr 2024","33903","33903","0"
"may 2024","8272","8272","0"
"jun 2024","9425","9425","0"
"jul 2024","37045","18019","19026"
"ago 2024","40036","29003","11033"
"sept 2024","16947","16822","125"
