"","Todos los dispositivos","De escritorio","Móvil"
"oct 2023","5768","5768","0"
"nov 2023","2577","2577","0"
"dic 2023","2396","2396","0"
"ene 2024","155","155","0"
"feb 2024","8067","1251","6816"
"mar 2024","10050","10050","0"
