"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","97,51 %","7866","13,35 %","86,65 %"
"Estados Unidos","2,48 %","200","100 %","0 %"
"Irlanda","0,01 %","1","100 %","0 %"
"Francia","0 %","0","0 %","0 %"
