"","Todos los dispositivos","De escritorio","Móvil"
"jul 2024","37045","18019","19026"
"ago 2024","40036","29003","11033"
"sept 2024","16947","16822","125"
"oct 2024","32917","30878","2039"
"nov 2024","18328","18328","0"
"dic 2024","22942","22942","0"
