"","Todos los dispositivos","De escritorio","Móvil"
"may 2024","8272","8272","0"
"jun 2024","9425","9425","0"
"jul 2024","37045","18019","19026"
"ago 2024","40036","29003","11033"
"sept 2024","16947","16822","125"
"oct 2024","32917","30878","2039"
