"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","97,53 %","9192","100 %","0 %"
"Francia","1,52 %","143","100 %","0 %"
"Venezuela","0,56 %","53","100 %","0 %"
"Rumanía","0,38 %","36","100 %","0 %"
"Suiza","0 %","0","0 %","0 %"
