"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","81,07 %","8148","100 %","0 %"
"Alemania","9,36 %","941","100 %","0 %"
"Suiza","8,72 %","876","100 %","0 %"
"Argentina","0,85 %","85","100 %","0 %"
"Italia","0 %","0","0 %","0 %"
