"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","99,26 %","16822","100 %","0 %"
"Italia","0,74 %","125","0 %","100 %"
"Reino Unido","0 %","0","0 %","0 %"
