"","Tráfico directo","Tráfico de referencia","Tráfico orgánico","Tráfico de pago","Tráfico social orgánico","Tráfico social de pago","Tráfico de correo","Anuncios de display"
"jun 2024","8112","0","1245","1","0","0","67","0"
"jul 2024","36107","0","239","699","0","0","0","0"
"ago 2024","36314","65","2862","730","0","0","65","0"
"sept 2024","14508","0","2329","110","0","0","0","0"
"oct 2024","31393","84","635","805","0","0","0","0"
"nov 2024","17401","0","927","0","0","0","0","0"
