"","Tráfico directo","Tráfico de referencia","Tráfico orgánico","Tráfico de pago","Tráfico social orgánico","Tráfico social de pago","Tráfico de correo","Anuncios de display"
"abr 2024","32728","0","1142","33","0","0","0","0"
"may 2024","6785","492","824","171","0","0","0","0"
"jun 2024","8112","0","1245","1","0","0","67","0"
"jul 2024","36107","0","239","699","0","0","0","0"
"ago 2024","36314","65","2862","730","0","0","65","0"
"sept 2024","14508","0","2329","110","0","0","0","0"
