CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL;;;;;;;Err:501
Urbano;Comunidad Foral De Navarra;Navarra;4,45;7178;4,27;;;;;;;
Urbano;Comunidad De Madrid;Madrid;4,37;266529;4,19;;;;;;;
Urbano;Comunitat Valenciana;Alicante/Alacant;4,51;24966;4,29;;;;;;;
Urbano;Comunitat Valenciana;Castellon/Castellon;4,55;3467;4,27;;;;;;;
Urbano;Comunitat Valenciana;Valenciana;4,39;37691;4,2;;;;;;;
Urbano;Extremadura;Badajoz;4,52;461;4,34;;;;;;;
Urbano;Extremadura;Caceres;4,51;13236;4,39;;;;;;;
Urbano;Galicia;A Coruña;4,48;9460;4,26;;;;;;;
Urbano;Galicia;Lugo;4,61;1327;4,29;;;;;;;
Urbano;Galicia;Ourense;4,18;3242;4,23;;;;;;;
Urbano;Galicia;Pontevedra;4,27;4131;4,2;;;;;;;
Urbano;Illes Baleares;Balears;4,51;44814;4,36;;;;;;;
Urbano;La Rioja;La Rioja;4,63;5393;4,33;;;;;;;
Urbano;Melilla;Melilla;5;1;4,41;;;;;;;
Urbano;Pais Vasco;Araba/Alava;4,57;2675;4,43;;;;;;;
Urbano;Pais Vasco;Bizkaia;4,45;17492;4,36;;;;;;;
Urbano;Pais Vasco;Gipuzkoa;4,55;15854;4,4;;;;;;;
Urbano;Principado de Asturias;Asturias;4,55;10211;4,38;;;;;;;
Urbano;Region de Murcia;Murcia;4,55;3904;4,26;;;;;;;
Comida y Bebida;Andalucia;Cordoba;5;2;4,31;;;;;;;
Comida y Bebida;Andalucia;Huelva;1;1;4,15;;;;;;;
Comida y Bebida;Andalucia;Malaga;4,78;940;4,46;;;;;;;
Comida y Bebida;Canarias;Las Palmas;3,5;111;4,28;;;;;;;
Comida y Bebida;Castilla La Mancha;Ciudad Real;5;20;4,32;;;;;;;
Comida y Bebida;Castilla La Mancha;Toledo;4,92;85;4,23;;;;;;;
Comida y Bebida;Castilla y Leon;Valladolid;4,33;121;4,06;;;;;;;
Comida y Bebida;Castilla y Leon;Avila;4,73;13;4,24;;;;;;;
