CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL;;;;;;;Err:501
Paisaje Naturaleza;Aragon;Zaragoza;4,25;2537;4,22;;;;;;;
Paisaje Naturaleza;Canarias;Las;4,24;49779;4,28;;;;;;;
Paisaje Naturaleza;Canarias;Santa;4,29;33565;4,29;;;;;;;
Paisaje Naturaleza;Cantabria;Cantabria;4,32;12358;4,31;;;;;;;
Paisaje Naturaleza;Castilla La Mancha;Albacete;4,3;584;4,14;;;;;;;
Paisaje Naturaleza;Castilla La Mancha;Ciudad Real;4,31;1913;4,32;;;;;;;
Paisaje Naturaleza;Castilla La Mancha;Cuenca;4,45;1002;4,23;;;;;;;
Paisaje Naturaleza;Castilla La Mancha;Guadalajara;3,94;154;4,1;;;;;;;
Paisaje Naturaleza;Castilla La Mancha;Toledo;4,05;69;4,23;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Burgos;4,33;1545;4,33;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Leon;4,52;625;4,26;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Palencia;4,52;119;4,38;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Salamanca;4,37;1392;4,21;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Segovia;4,02;4425;4,1;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Soria;4,05;1244;3,96;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Valladolid;3,88;2001;4,06;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Zamora;4,39;1254;4,21;;;;;;;
Paisaje Naturaleza;Castilla y Leon;Avila;4,68;391;4,24;;;;;;;
Paisaje Naturaleza;Cataluña;Barcelona;4,06;105815;4,12;;;;;;;
Paisaje Naturaleza;Cataluña;Girona;4,34;16473;4,28;;;;;;;
Paisaje Naturaleza;Cataluña;Lleida;4,23;1903;4,27;;;;;;;
Paisaje Naturaleza;Cataluña;Tarragona;4,09;8606;4,22;;;;;;;
Paisaje Naturaleza;Comunidad Foral De Navarra;Navarra;4,22;915;4,27;;;;;;;
Paisaje Naturaleza;Comunidad De Madrid;Madrid;4,2;76321;4,19;;;;;;;
Paisaje Naturaleza;Comunitat Valenciana;Alicante/Alacant;4,26;11940;4,29;;;;;;;
Paisaje Naturaleza;Comunitat Valenciana;Castellon/Castellon;4,12;729;4,27;;;;;;;
Paisaje Naturaleza;Comunitat Valenciana;Valencia/Valencia;4,16;12141;4,2;;;;;;;
Paisaje Naturaleza;Extremadura;Badajoz;4,37;193;4,34;;;;;;;
Paisaje Naturaleza;Extremadura;Caceres;4,48;2413;4,39;;;;;;;
Paisaje Naturaleza;Galicia;A Coruña;4,39;5393;4,26;;;;;;;
Paisaje Naturaleza;Galicia;Lugo;4,53;490;4,29;;;;;;;
Paisaje Naturaleza;Galicia;Ourense;4,4;66;4,23;;;;;;;
Paisaje Naturaleza;Galicia;Pontevedra;4,3;3344;4,2;;;;;;;
Paisaje Naturaleza;Illes Baleares;Balears;4,38;43785;4,36;;;;;;;
Paisaje Naturaleza;La Rioja;La Rioja;4,34;546;4,33;;;;;;;
Paisaje Naturaleza;Melilla;Melilla;4,83;39;4,41;;;;;;;
Paisaje Naturaleza;Pais Vasco;Araba/Alava;4,73;888;4,43;;;;;;;
Paisaje Naturaleza;Pais Vasco;Bizkaia;4,42;5170;4,36;;;;;;;
Paisaje Naturaleza;Pais Vasco;Gipuzkoa;4,61;8009;4,4;;;;;;;
Paisaje Naturaleza;Principado De Asturias;Asturias;4,38;14179;4,38;;;;;;;
Paisaje Naturaleza;Region De Murcia;Murcia;4,21;509;4,26;;;;;;;
Paisaje Urbano;Andalucia;Almeria;4,02;8736;4,26;;;;;;;
Paisaje Urbano;Andalucia;Cadiz;4,19;5982;4,31;;;;;;;
Paisaje Urbano;Andalucia;Cordoba;4,16;72431;4,31;;;;;;;
Paisaje Urbano;Andalucia;Granada;4,3;110283;4,41;;;;;;;
Paisaje Urbano;Andalucia;Huelva;4,05;8189;4,15;;;;;;;
Paisaje Urbano;Andalucia;Jaen;4,33;13566;4,39;;;;;;;
Paisaje Urbano;Andalucia;Malaga;4,24;111907;4,46;;;;;;;
Paisaje Urbano;Andalucia;Sevilla;4,48;186292;4,36;;;;;;;
Paisaje Urbano;Aragon;Huesca;3,99;8638;4,27;;;;;;;
Paisaje Urbano;Aragon;Teruel;4,21;9565;4,28;;;;;;;
Paisaje Urbano;Aragon;Zaragoza;4,16;34566;4,22;;;;;;;
Paisaje Urbano;Canarias;Las Palmas;3,93;8746;4,28;;;;;;;
Paisaje Urbano;Canarias;Santa Cruz de Tenerife;4,04;9511;4,29;;;;;;;
Paisaje Urbano;Cantabria;Cantabria;4,26;20692;4,31;;;;;;;
Paisaje Urbano;Castilla La Mancha;Albacete;4,09;3236;4,14;;;;;;;
Paisaje Urbano;Castilla La Mancha;Ciudad Real;4,11;4989;4,32;;;;;;;
