"","Todos los dispositivos","De escritorio","Móvil"
"ene 2024","645","645","0"
"feb 2024","267","267","0"
"mar 2024","98","98","0"
"abr 2024","10956","1892","9064"
"may 2024","2943","2655","288"
"jun 2024","1013","1013","0"
"jul 2024","19774","2891","16883"
"ago 2024","541","541","0"
"sept 2024","951","951","0"
"oct 2024","7202","782","6420"
"nov 2024","125","125","0"
"dic 2024","863","863","0"
