"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","90,35 %","9899","8,44 %","91,56 %"
"Suiza","7,66 %","839","100 %","0 %"
"Bulgaria","1 %","110","100 %","0 %"
"India","0,99 %","108","100 %","0 %"
