"País","Cuota de tráfico","Visitas","Participación en escritorio","Participación en móviles"
"España","47,77 %","1406","79,52 %","20,48 %"
"Suiza","28,61 %","842","100 %","0 %"
"Colombia","8,6 %","253","100 %","0 %"
"Uruguay","6,97 %","205","100 %","0 %"
"Reino Unido","5,61 %","165","100 %","0 %"
